what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1368669940860
started,bundle,org.eclipse.equinox.preferences,3.4.0.v20110502,"org.eclipse.equinox.preferences",1368669940869
started,bundle,org.eclipse.equinox.registry,3.5.100.v20110502,"org.eclipse.equinox.registry",1368669940871
started,bundle,org.eclipse.equinox.security,1.1.0.v20110502,"org.eclipse.equinox.security",1368669940879
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1368669940888
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1368669940897
started,bundle,org.eclipse.jdt.core,3.7.0.v_B61,"org.eclipse.jdt.core",1368669940904
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1368669940914
started,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1368669940932
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1368669940950
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1368669940958
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1368669940968
started,bundle,org.eclipse.jst.j2ee.ui,1.1.500.v201104151900,"org.eclipse.jst.j2ee.ui",1368669940976
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1368669940988
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1368669940988
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1368669940995
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1368669940999
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1368669941007
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1368669941007
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1368669941007
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1368669941012
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1368669941020
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1368669941024
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1368669941024
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1368669941031
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1368669941037
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1368669941041
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1368669941045
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1368669941051
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1368669941061
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1368669941074
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1368669941084
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1368669941087
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1368669941095
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1368669941099
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1368669941111
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1368669941113
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1368669941113
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1368669941123
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1368669941127
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1368669941127
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1368669941130
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1368669941134
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1368669941145
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1368669941152
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1368669941164
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1368669941172
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1368669941179
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1368669941184
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1368669941194
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1368669941194
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1368669941194
os,sysinfo,,,"linux",1368669941197
arch,sysinfo,,,"x86",1368669941197
ws,sysinfo,,,"gtk",1368669941197
locale,sysinfo,,,"en_US",1368669941197
processors,sysinfo,,,"2",1368669941197
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1368669941197
java.runtime.version,sysinfo,,,"1.6.0_13-b03",1368669941197
java.specification.name,sysinfo,,,"Java Platform API Specification",1368669941197
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1368669941197
java.specification.version,sysinfo,,,"1.6",1368669941197
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1368669941197
java.version,sysinfo,,,"1.6.0_13",1368669941197
java.vm.info,sysinfo,,,"mixed mode, sharing",1368669941197
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1368669941197
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1368669941197
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1368669941197
java.vm.specification.version,sysinfo,,,"1.0",1368669941197
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1368669941197
java.vm.version,sysinfo,,,"11.3-b02",1368669941197
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368669942547
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1368669942559
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368669945655
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1368669945670
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1368669945684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368669952615
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.edit.text.openLocalFile",1368669970535
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368669970559
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368669980222
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1368669982267
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368669982282
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368669995318
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1368670033752
started,bundle,org.eclipse.jst.servlet.ui,1.1.500.v201105122000,"org.eclipse.jst.servlet.ui",1368670033771
started,bundle,org.eclipse.wst.common.environment,1.0.400.v200912181832,"org.eclipse.wst.common.environment",1368670033779
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1368670033862
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1368670033968
started,bundle,org.eclipse.jst.j2ee.core,1.2.100.v201105122000,"org.eclipse.jst.j2ee.core",1368670033969
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1368670033970
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1368670034000
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1368670034027
started,bundle,org.eclipse.jst.j2ee,1.1.500.v201105122000,"org.eclipse.jst.j2ee",1368670034105
started,bundle,org.eclipse.jst.j2ee.web,1.1.500.v201103021755,"org.eclipse.jst.j2ee.web",1368670034162
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1368670034263
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.300.v201011231608,"org.eclipse.jst.ws.jaxrs.core",1368670034278
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1368670034360
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1368670034441
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1368670034749
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1368670034779
started,bundle,org.eclipse.jst.common.frameworks,1.1.500.v201104081500,"org.eclipse.jst.common.frameworks",1368670035456
started,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1368670035537
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1368670123607
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368670123630
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368670127552
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.edit.text.openLocalFile",1368670144725
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368670147929
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368670147956
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368670152665
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.200.v201103311536,"org.eclipse.wst.common.project.facet.ui",1368670174452
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.200.v201008182133,"org.eclipse.jst.common.project.facet.ui",1368670174657
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368670174809
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368670179641
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368670190061
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368670216318
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368670218597
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368670570367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368670570625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368671699777
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368671704302
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1368671713113
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1368671721774
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1368671721903
